file,index,role,before_text,before_href,after_text,after_href,status
masterclass/jm-a1-1.html,1,primary CTA,Finish My Registration,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-1,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-1#pricing,revised
masterclass/jm-a1-1.html,2,primary CTA,Finish My Registration,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-1,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-1#pricing,revised
masterclass/jm-a1-1.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a1-1.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a1-1.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a1-2.html,1,primary CTA,Take My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-2,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-2#pricing,revised
masterclass/jm-a1-2.html,2,primary CTA,Take My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-2,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-2#pricing,revised
masterclass/jm-a1-2.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a1-2.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a1-2.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a1-3.html,1,primary CTA,Complete My Registration,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-3,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-3#pricing,revised
masterclass/jm-a1-3.html,2,primary CTA,Complete My Registration,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-3,Choose My Session Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_name_details&utm_content=jm-a1-3#pricing,revised
masterclass/jm-a1-3.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a1-3.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a1-3.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a2-1.html,1,primary CTA,Lock In My Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-1,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-1#pricing,revised
masterclass/jm-a2-1.html,2,primary CTA,Lock In My Date,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-1,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-1#pricing,revised
masterclass/jm-a2-1.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a2-1.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a2-1.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a2-2.html,1,primary CTA,Secure My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-2,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-2#pricing,revised
masterclass/jm-a2-2.html,2,primary CTA,Secure My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-2,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-2#pricing,revised
masterclass/jm-a2-2.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a2-2.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a2-2.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a2-3.html,1,primary CTA,Keep My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-3,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-3#pricing,revised
masterclass/jm-a2-3.html,2,primary CTA,Keep My Seat,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-3,Finish My Booking,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_course_details&utm_content=jm-a2-3#pricing,revised
masterclass/jm-a2-3.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a2-3.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a2-3.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a3-1.html,1,primary CTA,Complete My Payment,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-1,Complete My Order,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-1#pricing,revised
masterclass/jm-a3-1.html,2,primary CTA,Complete My Payment,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-1,Complete My Order,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-1#pricing,revised
masterclass/jm-a3-1.html,3,footer,Unsubscribe,%UNSUBSCRIBELINK%,Unsubscribe,%UNSUBSCRIBELINK%,unchanged
masterclass/jm-a3-1.html,4,footer,Update preferences,%UPDATELINK%,Update preferences,%UPDATELINK%,unchanged
masterclass/jm-a3-1.html,5,footer,Privacy,https://www.longevitylifeacademy.com/privacy.html,Privacy,https://www.longevitylifeacademy.com/privacy.html,unchanged
masterclass/jm-a3-2.html,1,primary CTA,Finish Checkout,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-2,Complete My Order,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-2#pricing,revised
masterclass/jm-a3-2.html,2,primary CTA,Finish Checkout,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-2,Complete My Order,https://www.longevitylifeacademy.com/julie-masterclass/?utm_source=activecampaign&utm_medium=email&utm_campaign=lgv_abandoned_cart_no_payment&utm_content=jm-a3-2#pricing,revised
